SIT || Field1
During the period of falling in love, each time that we met and  especially when we had not met for a long time. || joy
When I was involved in a traffic accident. || fear
When I was driving home after  several days of hard work, there  was a motorist ahead of me who was driving at 50 km/hour and  refused, despite his low speeed to let me overtake. || anger
When I lost the person who meant the most to me.  || sadness
The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down, and when the animal  screamed at the moment of death. || disgust
When I did not speak the truth. || shame
When I caused problems for somebody because he could not keep the  appointed time and this led to various consequences. || guilt
When I got a letter offering me the Summer job that I had applied  for.   || joy
When I was going home alone one night in Paris and a man came up  behind me and asked me if I was not afraid to be out alone so  late at night. || fear
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left. || anger
When my friends did not ask me to go to a New Year's party  with them. || sadness
When I saw all the very drunk kids (13-14 years old) in town on  Walpurgis night. || disgust
When I could not remember what to say about a presentation task  at an accounts meeting. || shame
When my uncle and my neighbour came home under police escort. || guilt
[ On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.] || joy
Every time I imagine that someone I love or I could contact a  serious illness, even death. || fear
When I had been obviously unjustly treated and had no possibility  of elucidating this. || anger
When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time. || sadness
At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating. || disgust
When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings. || shame
I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered. || guilt
After my girlfriend had taken her exam we went to her parent's  place. || joy
When, for the first time I realized the meaning of death. || fear
When a car is overtaking another and I am forced to drive off the  road. || anger
When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand. || sadness
When I found a bristle in the liver paste tube. || disgust
When I was tired and unmotivated, I shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important. || shame
When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time. || guilt
When I pass an examination which I did not think I did well. || joy
When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident. || fear
When one is unjustly accused of something one has not done. || anger
When one's studies seem hopelessly difficult and uninteresting.   || sadness
When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted. || disgust
When one has been unjust, stupid towards someone else.  || shame
When one has neglected or been unjust to a good friend. || guilt
Passing an exam I did not expect to pass. || joy
When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable. || fear
Friends who torture animals. || anger
[ Same as in anger.] || sadness
Friends who torture animals. || disgust
[ Same as above - friends who torture animals.] || shame
[ When excuses are necessary and I get out of doing it myself.] || guilt
When I had my children. || joy
When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down. || fear
When my partner was attacked and lost three teeth. || anger
When I see children on T.V from areas devastated by drought and  war. || sadness
When I nearly walked on a blindworm and then saw it crawl away. || disgust
When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me. || shame
I experience a sense of guilt as my middle son cannot express  himself like other children, neither verbally nor in writing. || guilt
When my child was born. || joy
It was winter/spring and the ice was melting.  I was far out on a  jetty and I poked the ice with a long branch to try and break it.   The branch went through the ice and I fell in, the water closed  in over my head. || fear
Unjust accusations directed at me and my way of acting, by  someone close to me.   || anger
Failing an examination. || sadness
A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness. || disgust
When, as an adult I have been caught lying or behaving badly. || shame
When I am in an environment or with a person much worse off than  me, I realize how privileged I am. || guilt
When I saw a person I had not seen for a long time. || joy
When, as a child, I was nearly knocked down by a car. || fear
When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way. || anger
When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else. || sadness
When one learns through the mass media all the wars and killing  going on in the world. || disgust
I lied, to be precise I cancelled a meeting with a good friend. || shame
When one lets friends down || guilt
When I was accepted for a course on finance and accounting. || joy
A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened. || fear
At my Summer job, nobody looked after me in particular and I had  to learn all on my own. || anger
When I was not accepted as a student in finance and accounting. || sadness
When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted. || disgust
My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays. || shame
At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him. || guilt
Passed an exam by 2 points. || joy
In a cottage in a large forest, I was alone for a while in the  dark. || fear
When I spoke to Jan-Erik Wikstr÷m on the telephone.  || anger
Railway station good-bye. || sadness
I saw a cripple in rags with small children in Italy.  He was  probably an imposter. || disgust
I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that. || shame
I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him. || guilt
I passed an exam that I was absolutely certain that I had failed. || joy
On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard. || fear
I locked myself out. || anger
I missed the last tram home and had to walk in the pouring rain. || sadness
I found some worms in the food and I had obviously eaten some. || disgust
My friend was so intoxicated that the police came and took him  away, and they later contacted his parents. || shame
I hapened to overhear something which I was not meant to hear. || guilt
When I won a trip to Greece in a competition. || joy
When I am out in the dark and a suspicious looking character  comes towards me. || fear
At work, when an elderly man complained unjustifiably about me and  distrusted me. || anger
When I had not understood anything after a lecture. || sadness
When an alcoholic stood dribbling over a food counter. || disgust
When my friend and I were discussing the good looks of a guy we  realized that he had been listening. || shame
When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her. || guilt
At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends. || joy
On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds. || fear
Mad at my dad. || anger
A case of unrequited love. || sadness
A bad smelling cucumber. || disgust
Nearly caught masturbating. || shame
I do not help out enough at home. || guilt
I felt very happy when I won the football pools. || joy
When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash. || fear
When someone stole my bike. || anger
When I saw the list of books to read for an acccouting course, I  thought \ Oh God how will I ever manaage it!\"" || sadness
It was when I read a newspaper article on the future and they  foresaw that we would be eating frog-burgers by the year 2000.   An illustration showed a frog between two pieces of bread. || disgust
When I dropped a bottle in the state liquor store and everyboby  started laughing. || shame
When I was young - 14, I pinched from a store and was caught.   The store then contacted my parents. || guilt
When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves. || joy
When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her,  she had gone to bed to sleep) || fear
When friends try to put me down or hurt me.   || anger
Marriage crises.  Boredom. || sadness
When someone makes advances that one does not want. || disgust
The discovery that one has only thought of oneself. || shame
When I spanked a child in anger and later regretted it terribly. || guilt
When I passed the first examination that I had to repeat. || joy
When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit. || fear
When my boyfriend went away for a month long holiday without me. || anger
Last year when I worked during the Summer holidays and studied  at the same time for an examination I had to repeat; my boyfriend  went to Greece for a holiday for a month. || sadness
When a dog is left whining outside a shop. || disgust
When I promised to help a friend over a weekend and did not keep  the promise. || shame
When I realized that I had three more examinations to take. || guilt
The day I was told that I had been accepted as a student of  economics. || joy
While taking a short cut through the Vasa park, I was surrounded  by three people who tried to steal my money.  I was scared and  was saved only by the appearance of other people. || fear
At a restaurant I observed how the gypsies tried to get money by  cheating the foreigners i.e non Swedish speaking.  My anger had  nothing to do with hatred against foreigners, but it was an  expression of the anger I feel when I see people being used . || anger
At the begining of a new course one is afraid of encountering  problems one can not manage.  Thoughts revolve around failing  the subject and the consequences it would have for the future. || sadness
While walking in town I noticed how the police harrassed a man  who was under the influence of alcohol.  They terrified him with  the thought of arrest by driving close behind him on a pedestrian  street.  My disgust was directed at the gestures and the facial  expressions of the policemen; they seemed to be enjoying  themselves. || disgust
When my boyfriend revealed that he knew that I had discovered  things of an important nature about him, I felt ashamed as I had  not mentioned it earlier. || shame
When I am dishonest to a friend to whom I am very close.  I  feel guilty because I know that he gives a different version of  the truth and I have not corrected these mistakes, and he is  aware that I know that they are wrong. || guilt
When I found out that I had passed the last two exams by a  margin of three marks. || joy
When my father was ill and was waiting for the results of his tests. || fear
When I got caught in the pouring rain last Thursday and did not  have a raincoat on me. || anger
When I failed an exam. || sadness
At a Sm÷rgasbord table, a man mixed differnet kinds of picked  herrings with fruit salad. || disgust
When I had not prepared my contribution to the group as  thoroughly as the other members, with the result that the  overall result was poor. || shame
When my father and I worked on the house just after he had  recovered from illness, I was rather lazy.  This meant that he  had to work hard and was not very well later. || guilt
When I gave birth to my son and saw that he was alive and that I  had managed it well.  He was born a month too early with a  malfunctioning lung.  This happened a year ago. || joy
When I found out that my father had lung cancer and they did not  know how long he would live. || fear
When a colleague asked me for help at work, despite the fact  that he had more time to do it than I had. || anger
When I did not get the salary increase that I had been expecting  and understood how little one's work was appreciated. || sadness
When I was weeding the garden I found a lizard in my hand. || disgust
When I met a friend whom I had not seen for a long time and  heard all about her troubles, I thought that I should have got  in touch with her earlier. || shame
I got angry at my mother for something trivial.  We were in a  bad mood because my father was very ill and I knew that my mother  really needed support.  I had reacted wrongly. || guilt
New year's eve 1983/1984, I met my girlfriend.  We stood on the  steps outside her parents home and I kissed her for the  first time. || joy
When I was stopped by plain clothes policemen because the car I  was driving had overturned on the Avenue.  I had been driving too  fast, and I was afraid when I was stopped, questionned and then  toild to go.  The situation ended happily since there were no  consequences. || fear
The editor changed the heading of an article that I had written.   He considered the heading to be derogatory towards the person I had written  about. || anger
A close acquaintance of the family died of lung cancer.   Although it was expected, I still felt depressed. || sadness
When I saw a picture, in the Gothenburg Post, of a totally  demolished car with two fatally injured passengers.  The car was  so badly damaged that they couldn't get the bodies out at the  scene of the accident. || disgust
One night I had a sexual intercourse with another man.  My sexual  desire and my curiosity had made me jump into bed with him.  I am  ashamed of myself now. || shame
Due to laziness, I failed the term studies completely at  University.  I also wanted, to some extent, to protest against my  parents' expectations. || guilt
When I got the loan for my studies. || joy
I met intoxicated people with dubious intentions in a back alley  one Wednesday night. || fear
On the T.V I saw a news feature on South Africa.  A policeman       attacked a group of black people with a whip. || anger
The thought of having to read a boring book of 400 pages in  English. || sadness
Grovelling people. || disgust
My inability to assert myself positively in a group. || shame
I experience feelings of guilt because I do not study enough. || guilt
Observing someone in the cafeteria noisily gulping in his food,  having extremely bad manners. || disgust
I guess I have often been ashamed after having talked badly of  other people. || shame
Having been angry and unpleasant towards my parents. || guilt
When my sister - after a history of one abortion and one  stillbirth - gave birth to a perfectly healty boy. || joy
When my sister had the still born child, she was emotionally very  deep down, and it took her a long time to recover. || fear
We were starting a student project, and the teacher we talked to  was very negative and not very helpful. || anger
When my boyfriend openly let me down, preferring another girl. || sadness
I felt some disgust for my boyfriend for a time, after he had  left me. || disgust
Can't think of any. || shame
Before an accident, my aunt offered me the front seat of the car,  next to the driver. I declined, she took that seat and was killed  there when the car crashed. || guilt
Unexpected visit by a close friend, whom I hadn't seen for half a  year. || joy
I wandered by mistake into the safety zone of a shooting range,  and was shot at. || fear
Being treated unfairly. || anger
Breaking up with a girl. || sadness
Nothing. || disgust
None. || shame
Little contact with my father before he died. || guilt
When I was accepted as a student at the college, not having  thought it possible. || joy
When I was the first to arrive at the scene after an accident,  and found that a close school friend had been killed. || fear
I was accused of having done something, which I hadn't and got  very angry. || anger
When my grandmother died. || sadness
Not applicable. || disgust
A couple of years ago during the summer holiday, I was fishing at  a lake with my husband.  Suddenly it started raining while the  sun was still shining. I experienced a feeling of joy, happiness  and fulfillment.  the whole nature was full of music. || joy
I was alone at home, in bed reading a womens' magazine in which  there were storiees of paranormal experiences.  My leg was  itching and I stretched my hand to scratch and I felt another  strange hand. (later I realized that it was the corner of the  blanket) || fear
I went to a lecture and once again it had been cancelled, this  was the second time.  One had a negative attitude towards the  lecturer.  || anger
I heard that a former superior of mine had died, I was later at  home home reading about it in the newspaper and I thought of our  interaction and how it was no longer possible.  The limited scope  of human life is sad. || sadness
In the tram there was a fat, sickly looking woman in front of me  who was asking for directions in a thick voice.  When she got up to  go a disgusting smell of urine came from her.  I felt that I  would choke. || disgust
When we were at home, my husband and I, he made a remark about  something I had done, in a perfectly friendly manner.  My deed  had been unjust and I knew that my husband was right, therefore my  sense of shame. || shame
I made a remark to my sister concerning her attitude to men, the  way she talked and I compared her to an acquaintance of mine.   Later, the same evening, my sister looked sad.  I felt guilty  about her sadness. || guilt
I had a summer job in Sweden, and my boyfriend came to meet me on  my birthday. || joy
I went to practice in Sweden during summer, and I was afraid that  I would not do well. || fear
In the holiday cottage of our association, two of my pals came to  wake me up early one morning by bringing a radio played at the  highest volume into my room - it was the morning service at its  loudest. || anger
My grandmother died suddenly last summer. || sadness
My superior at the summer job swindled customers as much as he  could, and once put me in a difficult situation after which I  could not but detest him. || disgust
Once I arrived two hours late to my work place (a bank) and I was  still feeling feeble and tired. || shame
Our association had Polish visitors and when they were going back  by boat I did not go to see them off (I am the chairman of the  association). || guilt
I was told quite unexpectedly that one wanted me to become the  vice-chairman of our student organisation.  I was really  surprised and joy was the first emotion I felt, though behind it  there was worry - how shall I succeed ? || joy
Our tutorial group was soon to be divided, and we got a list of  names of freshmen, out of which five were to be in my group.  We  read the names and then each group went its own way to a seminar  room.  I wondered how I would cope with the new situation and if  I would succeed as a group leader. || fear
We were in a disco and the evening was not at all pleasant.   Despite my not knowing why, I was angry with my companion.  I let  him feel my bad humour as I cannot hide my feelings. || anger
My grandmother died, and my mother called me one sunday morning  in the Autumn.  The way my mother told me about it, I hated her  at that moment.  She sounded as if she had been waiting for the  death of my grandmother.  I had lost a person close to me.  I  felt guilty too as I had been bad to my grandmother of late.  I had not  remained calm when she no longer understood everything so well. || sadness
At the underground station, a drunkard came to speak to me.  He  tried to ask me something but I did not answer so he began to  speak about me with his companion.  I detested this dirty  growling man. || disgust
I was worried by a task related to my studies which had to be  done in groups of two.  I was talking about it to my friends when  I said something negative, in too abrupt a manner, concerning my  work partner.  I did not quite mean what I said and I felt  ashamed at having been mean enough to criticize him as he is also  a friend of mine. || shame
I had told my boyfriend that I did not want to go on with our  relationship.  I knew that I was important to him but I wanted to  be free.  I saw that this was difficult for him but I remained  firm and did not change my mind. || guilt
encounter." || joy
[ I sometimes quarrel with my mother because she blames me,  though I have not in any way been connected to some events.] || anger
After hearing about the death of my grandfather.  First I could  not believe it, but later I wept and felt the situation was  hopeless.  I felt lonely and wanted to be consolated. || sadness
In the evening, while I was watching TV, my little brother came  in and started eating food he had brought from the kitchen while  I was trying to concentrate on the program. || disgust
My little brother was arrested by the police at the railway station after  he had drunk some beer. || shame
At my temporary job, I have to restrict  others' actions and make  them obey me, and this very often gives me  a feeling of guilt.  I  wish there could be some other way of acting. || guilt
